Compania,Seccion_CIIU,Clasificacion_Tamaño,Año,Razon_Liquidez,Prueba_Acida,Razon_Efectivo,Deuda_Activos_pct,Deuda_Capital_pct,Deuda_Neta_EBITDA,ZScore_Altman,ROA_pct,ROE_pct,Margen_Operacional_pct,Margen_Neto_pct,Margen_EBITDA_pct,Activos_Totales,Pasivos_Totales,Patrimonio_Total,Ingresos_Operativos,Utilidad_Neta,EBIT,Capital_Trabajo,Contrib_X1_2021,Contrib_X2_2021,Contrib_X3_2021,Contrib_X4_2021,Zona_ZScore,Cluster_Label,Contrib_X1_2022,Contrib_X2_2022,Contrib_X3_2022,Contrib_X4_2022,Contrib_X1_2023,Contrib_X2_2023,Contrib_X3_2023,Contrib_X4_2023,Contrib_X1_2024,Contrib_X2_2024,Contrib_X3_2024,Contrib_X4_2024
Suramerica Comercial S.A.S,G – Comercio al por mayor y menor,Grande,2021,2.0000,0.4300,0.3100,3.3100,11.2400,-0.7600,2.5200,0.4900,1.6600,2.7600,0.3400,5.4400,686629.1600,484532.5100,202096.6400,978170.3600,3344.6400,27044.3700,200476.9600,1.9153,0.1145,0.2647,0.4380,Zona Segura,Perfil moderado,,,,,,,,,,,,
Productora de Alimentos Concentrados para Animales Contegral S.A.S.,C – Industria manufacturera,Grande,2021,1.2200,0.5300,0.0800,16.0900,27.5100,1.2100,3.2800,8.3600,14.3000,5.4800,4.6400,6.1100,1456523.1800,604828.5000,851694.6800,2686013.3200,121774.0600,143779.9900,112286.4400,0.5057,0.5703,0.6634,1.4786,Zona Segura,Perfil moderado,,,,,,,,,,,,
Postobon S.A.,C – Industria manufacturera,Grande,2021,1.7400,1.4800,0.4400,26.5000,56.1300,1.8800,2.6800,2.0300,4.3100,7.6000,3.2700,13.4700,3276586.7300,1729810.0800,1546776.6500,2036336.4100,66651.2400,154997.8600,599986.1600,1.2012,0.3299,0.3179,0.9389,Zona Segura,Perfil moderado,,,,,,,,,,,,
Tecnoquimicas S.A.,C – Industria manufacturera,Grande,2021,1.8600,1.1000,0.1100,9.8600,13.3400,1.2400,5.2900,11.4800,15.5300,8.7900,17.0700,9.6300,2856682.6300,744986.8200,2111695.8100,1979750.1600,327942.0600,168804.0600,396684.7200,0.9109,0.5015,0.3971,2.9763,Zona Segura,Perfil moderado,,,,,,,,,,,,
Masser S.A.S.,G – Comercio al por mayor y menor,Grande,2021,1.1800,0.6400,0.3300,0.0000,0.0000,-2.2800,1.4000,2.0000,7.8000,0.3000,0.0600,0.3600,42921.4300,31916.9200,11004.5100,1317902.6900,858.9500,3990.9200,5896.0400,0.9011,0.0171,0.6248,0.3620,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Alimentos Carnicos S.A.S.,C – Industria manufacturera,Grande,2021,1.3100,0.9000,0.0300,32.8400,71.1900,5.5100,1.9100,5.2900,11.4700,5.2800,5.9000,6.5200,2390816.1100,1287902.2200,1102913.8900,2152099.7600,126549.8000,113214.6700,160946.9400,0.4416,0.1724,0.3182,0.8992,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Teleperformance Colombia S A S,C – Industria manufacturera,Grande,2021,3.4000,3.4000,0.3100,6.9800,12.5100,0.0500,6.7400,15.5300,27.8400,16.3300,9.1200,22.0900,1172070.6200,518401.6000,653669.0100,2139044.8500,181989.3400,325766.7300,471886.7100,2.6411,1.2503,1.8678,1.3240,Zona Segura,Alto desempeño,,,,,,,,,,,,
Compania de Medicina Prepagada Colsanitas S A,Q – Salud y servicios sociales,Grande,2021,1.6600,1.6600,0.7400,14.0700,27.7200,-1.2800,5.6300,27.9100,54.9800,6.6800,27.3200,17.0800,1771720.4700,872422.9700,899297.5000,1809703.1400,494410.2000,120828.3500,570459.0400,2.1122,0.0247,0.4583,1.0823,Zona Segura,Perfil moderado,,,,,,,,,,,,
Hocol S.A.,B – Explotación de minas y canteras,Grande,2021,0.6300,0.5700,0.1500,4.5200,7.6400,0.0300,3.0100,12.6600,21.3900,32.2600,22.4200,49.3300,3977487.5900,1624494.8100,2352992.7800,2204185.6700,503350.8200,724371.4100,-354300.6500,-0.5843,0.6898,1.2238,1.5209,Zona Segura,Alto desempeño,,,,,,,,,,,,
C.I. Energia Solar S.A.S. E.S. Windows,C – Industria manufacturera,Grande,2021,4.1900,3.2800,0.4800,0.1400,0.3100,-0.2700,6.8900,13.9500,31.3200,22.4000,10.8200,23.3100,1035160.6300,573983.3200,461177.3200,1397202.3600,144428.8300,299165.4000,561541.4200,3.5586,1.1711,1.9421,0.8436,Zona Segura,Alto desempeño,,,,,,,,,,,,
